id;event_date;event_location;event_description;event_group_name
1;2024-09-27T23:39:16;yearly polished;where symbolise;yippee
2;2024-09-28T00:26:28;stabilise yuck pull;huge heartbeat;twin
3;2024-09-28T03:15:54;aged gadzooks faithfully;damaged um;meanwhile design
4;2024-09-28T15:57:23;overvalue;warmly midst orientate;meanwhile
5;2024-09-28T06:08:59;patroller forenenst;brightly butter;dramatic orient once
6;2024-09-28T13:11:08;across;within furthermore um;homely gee
7;2024-09-28T12:21:51;failing how;failing dial often;hovercraft amount
8;2024-09-27T23:01:13;openly;murky given;pile yuck pfft
9;2024-09-28T12:08:52;inasmuch wicked;towards embody tiny;around via
10;2024-09-28T02:53:01;sick;duh frugal;yum
